100,20
,V0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120
V81,99.28,18.03,16.97,55.15,49.34,62.27,76.42,39.01,7.07,42.52,54.04,110.64,49.40,82.61,62.23,41.59,43.68,6.71,52.63,71.57,12.37,70.88,33.11,103.62,92.59,36.77,81.84,70.09,76.90,56.86,26.83,40.45,66.03,45.28,87.97,92.97,79.25,98.06,47.43,91.08,79.65,82.10,68.45,51.87,93.06,70.00,100.96,64.47,79.18,63.51,57.07,21.40,60.31,68.88,53.00,81.50,29.27,93.30,39.66,62.13,56.08,62.29,100.24,78.39,29.73,65.00,54.82,41.05,70.77,95.80,67.12,35.23,97.51,48.17,48.33,71.47,55.07,77.47,80.75,96.14,31.32,0.00,30.81,34.79,19.42,83.93,45.18,8.49,40.61,98.84,28.44,33.24,75.89,17.03,98.62,36.24,79.76,38.21,34.99,56.36,13.45,45.19,89.87,65.12,42.45,83.02,32.56,39.01,95.26,57.49,9.22,11.18,50.49,57.80,62.43,47.30,66.48,92.23,101.24,54.01,67.62
V82,77.99,13.42,18.68,35.00,27.80,47.01,51.97,54.38,27.73,35.06,24.52,81.61,22.47,54.71,39.56,13.89,52.20,33.02,29.00,40.80,33.02,46.62,40.31,80.45,63.25,44.01,52.43,45.65,46.10,42.54,35.85,52.77,51.00,15.13,60.41,62.39,52.39,67.27,21.93,60.41,53.60,53.15,38.83,25.55,72.84,43.60,72.92,34.67,59.46,33.02,26.31,23.85,48.70,39.41,25.81,53.45,44.41,62.63,27.20,32.14,26.31,51.55,69.64,59.67,17.12,50.99,36.22,27.89,48.47,69.78,39.70,12.08,71.18,25.71,38.33,40.85,41.11,55.90,53.14,65.55,16.00,30.81,0.00,44.28,29.83,53.67,34.21,27.29,40.22,69.34,32.65,44.29,45.31,15.26,68.43,30.07,52.20,51.97,38.90,44.41,20.10,16.28,62.23,35.13,22.02,52.35,45.79,10.82,66.49,37.66,27.78,30.23,48.76,39.32,47.85,16.49,44.01,61.52,76.06,24.74,46.69
V83,78.77,34.71,45.01,41.76,40.25,89.27,96.18,11.66,28.64,21.59,55.44,122.35,66.65,74.63,83.77,58.14,9.06,41.44,44.72,77.90,22.47,58.46,4.24,85.21,104.00,3.16,93.51,89.89,81.22,36.01,9.06,8.60,43.29,50.99,78.59,99.49,69.64,100.17,66.21,91.92,97.42,76.69,80.28,69.77,71.85,87.46,115.11,76.06,59.14,66.22,62.94,20.88,35.51,81.06,69.84,74.00,8.06,99.02,66.91,63.01,57.63,36.14,106.21,57.31,28.60,41.44,79.40,68.07,92.70,82.61,83.22,37.64,84.72,69.64,77.52,79.21,82.57,60.03,72.42,102.45,30.61,34.79,44.28,0.00,17.00,92.66,73.68,27.46,73.11,109.60,61.29,2.24,83.49,32.56,106.96,19.72,71.47,8.60,7.62,85.00,42.01,60.03,105.00,65.46,65.15,84.60,5.10,44.05,87.93,81.27,26.48,23.77,83.10,82.57,40.11,56.22,88.24,93.30,86.09,54.82,51.35
V84,82.87,18.38,28.02,40.31,36.01,72.80,81.54,25.08,12.53,24.19,46.62,110.75,52.20,71.25,68.48,43.60,26.02,26.08,40.11,67.74,8.94,57.14,14.32,88.06,92.31,18.25,81.57,75.17,72.01,39.40,8.06,24.52,48.30,39.96,76.06,89.69,67.03,92.31,51.31,84.50,83.41,72.01,68.01,55.22,76.32,73.41,102.53,63.78,62.63,57.27,52.48,6.71,41.88,68.68,55.61,70.35,14.76,89.55,50.22,54.78,48.85,43.60,96.75,61.47,18.03,47.01,63.32,51.42,77.41,82.30,69.53,26.83,84.21,54.12,60.67,68.51,65.97,61.85,69.18,92.78,20.25,19.42,29.83,17.00,0.00,81.84,56.89,11.18,56.14,98.23,44.41,16.12,72.95,16.16,96.52,18.38,68.18,23.09,15.65,68.25,25.02,46.10,91.97,57.58,49.24,76.69,16.76,32.76,84.48,65.39,10.30,8.49,66.12,66.48,44.72,44.20,72.95,85.80,86.98,46.24,52.17
V85,75.80,67.08,68.68,58.59,55.47,52.33,30.41,104.06,81.39,74.81,37.64,30.00,36.35,41.19,36.40,42.72,98.41,84.77,51.62,15.00,86.45,51.97,88.41,72.28,12.65,91.22,7.81,30.53,14.32,70.21,85.91,101.12,73.05,42.01,44.91,10.05,45.00,21.10,39.20,20.81,24.84,35.23,16.12,35.06,75.11,24.60,25.71,19.65,68.47,27.46,29.73,75.21,76.97,16.03,33.14,40.11,95.27,11.40,56.04,31.38,35.61,79.71,17.03,70.71,64.66,74.67,45.61,55.08,36.62,56.04,22.80,55.44,55.66,42.01,59.44,13.45,53.76,62.39,42.05,13.00,62.48,83.93,53.67,92.66,81.84,0.00,57.71,80.95,71.57,17.20,73.06,93.43,9.22,68.88,14.76,73.59,42.01,101.18,85.56,57.58,71.47,38.90,20.40,29.97,47.04,18.44,95.67,49.20,41.63,43.01,81.41,83.73,73.50,45.54,72.24,37.74,36.24,20.62,62.94,38.42,60.17
V86,108.07,39.12,29.41,67.98,60.84,17.20,37.00,81.49,47.76,68.88,50.33,76.49,25.24,78.87,23.35,26.40,82.49,41.62,60.90,52.39,55.03,76.22,70.35,108.93,61.07,74.33,52.09,31.78,58.69,76.55,64.63,81.39,84.69,42.44,84.65,67.74,78.52,77.62,22.20,73.74,42.20,75.21,42.45,24.60,103.81,35.06,65.00,40.50,91.27,52.80,45.45,53.15,82.86,42.20,26.83,77.47,71.06,69.05,7.07,54.56,50.93,85.73,74.43,91.92,50.49,84.86,13.34,6.32,29.55,95.67,35.13,46.17,96.54,17.00,4.12,50.33,10.00,86.84,77.99,70.58,49.82,45.18,34.21,73.68,56.89,57.71,0.00,48.38,14.00,67.19,20.00,72.99,53.45,41.19,70.03,63.39,77.23,79.83,70.06,11.40,32.89,29.00,54.13,56.85,14.87,66.71,73.55,42.95,87.66,16.49,49.34,52.50,17.20,15.23,81.71,38.29,26.25,74.33,102.65,51.09,78.55
V87,91.29,13.89,18.97,47.43,41.98,65.00,76.58,33.38,1.41,34.06,48.66,108.72,48.17,76.11,62.80,39.82,36.50,15.00,45.54,67.78,6.71,63.56,25.30,95.86,90.43,29.12,79.61,70.18,72.73,48.55,18.97,34.00,57.69,40.52,81.30,89.55,72.44,93.68,46.67,86.35,79.20,76.03,66.04,50.93,84.97,69.31,99.64,61.91,71.11,58.69,52.81,13.04,51.86,66.57,51.74,75.06,23.09,89.69,42.15,56.89,50.80,53.81,96.77,70.24,22.36,56.61,56.44,43.46,71.61,88.65,65.95,29.07,90.43,48.41,51.92,68.03,57.94,69.64,74.17,92.70,24.19,8.49,27.29,27.46,11.18,80.95,48.38,0.00,46.01,96.57,34.01,26.17,72.50,12.08,95.71,27.80,73.17,32.06,26.83,59.77,15.52,43.01,88.73,59.84,43.01,78.34,26.00,33.73,89.01,58.83,1.00,4.12,56.01,59.54,54.08,43.46,67.20,87.56,93.86,48.51,59.81
V88,117.39,40.52,28.44,75.21,68.01,27.78,50.45,79.23,45.04,72.45,60.44,90.26,37.70,90.14,37.22,36.62,82.15,35.44,68.88,65.46,52.15,85.56,70.35,119.00,75.06,74.33,66.07,45.54,71.78,82.37,64.20,80.01,91.07,51.66,95.96,81.61,89.20,91.22,34.54,86.98,55.90,86.95,56.09,37.64,112.61,49.04,78.64,53.85,99.49,64.50,56.94,53.94,88.10,55.90,39.85,88.75,69.07,82.87,16.55,65.73,61.40,90.80,88.36,99.81,54.23,90.92,27.17,17.09,42.72,106.61,49.09,52.15,107.65,30.08,13.60,63.60,21.54,95.59,89.05,84.48,54.13,40.61,40.22,73.11,56.14,71.57,14.00,46.01,0.00,81.15,12.17,72.03,66.94,42.20,84.02,66.41,88.23,78.06,70.86,20.25,31.14,39.96,67.90,68.26,26.40,79.71,72.01,50.45,99.76,30.27,47.01,50.04,10.00,28.64,87.82,48.60,39.81,87.64,113.41,61.07,86.68
V89,89.01,82.68,82.86,75.66,72.67,57.71,32.76,120.93,96.90,92.01,54.82,12.81,49.77,55.33,44.01,57.25,115.52,99.01,68.80,32.20,102.34,68.01,105.36,84.38,6.32,108.25,17.00,36.06,30.87,87.24,102.65,118.11,89.69,58.73,58.01,15.00,59.84,26.25,52.20,31.06,26.48,49.37,30.53,47.76,89.20,32.14,11.70,34.67,83.95,44.65,46.69,91.68,93.91,30.02,46.24,54.45,111.95,17.03,67.08,48.55,52.80,96.61,14.76,86.35,81.39,91.39,54.04,65.92,40.61,68.18,32.98,72.18,67.36,53.60,68.01,30.48,61.07,77.88,56.57,14.32,79.25,98.84,69.34,109.60,98.23,17.20,67.19,96.57,81.15,0.00,84.72,110.32,26.40,84.60,7.62,90.69,56.72,118.09,102.59,64.28,85.91,53.71,15.23,47.01,59.20,32.56,112.49,65.86,52.47,51.01,97.10,99.57,81.15,53.01,89.05,54.04,42.11,30.15,74.55,55.61,76.55
V90,110.63,29.97,17.46,67.21,60.11,36.77,56.36,67.12,33.00,62.17,55.47,94.92,37.05,85.87,42.15,33.24,70.35,23.41,61.62,64.63,40.05,79.20,58.69,113.00,78.45,62.65,68.59,50.70,70.86,73.24,52.47,68.01,82.20,46.14,91.68,83.02,84.22,91.35,34.01,86.15,61.10,83.38,57.01,38.01,105.42,52.89,83.82,54.04,91.92,61.35,53.76,42.72,78.55,57.04,40.00,84.53,57.01,84.00,17.72,61.85,56.80,81.12,90.09,91.97,44.42,81.84,32.65,18.97,49.24,101.71,51.79,43.86,102.96,31.26,21.93,63.29,29.73,88.53,84.53,86.05,44.65,28.44,32.65,61.29,44.41,73.06,20.00,34.01,12.17,84.72,0.00,60.13,67.12,31.38,86.58,55.95,83.65,66.01,59.44,29.83,19.65,37.11,72.73,64.62,26.02,78.45,60.01,43.42,96.57,35.78,35.01,38.00,22.09,34.99,78.82,44.38,45.62,86.98,108.23,55.95,79.21
V91,80.89,34.21,44.10,43.42,41.63,88.77,96.25,10.63,27.29,23.35,56.40,123.04,66.73,76.24,83.67,58.18,10.44,39.85,46.10,78.75,20.88,60.21,5.39,87.28,104.66,5.39,94.11,89.94,82.20,38.00,8.54,8.54,45.40,51.62,80.28,100.42,71.31,101.36,66.19,93.15,97.64,78.19,80.81,69.84,73.98,87.66,115.62,76.58,61.20,67.20,63.70,20.62,37.66,81.57,69.97,75.58,5.83,100.00,66.29,64.07,58.60,38.33,107.20,59.41,29.07,43.57,79.06,67.47,92.61,84.48,83.49,38.21,86.58,69.46,76.79,79.98,82.00,62.01,74.04,103.41,31.14,33.24,44.29,2.24,16.12,93.43,72.99,26.17,72.03,110.32,60.13,0.00,84.29,32.02,107.81,21.02,73.08,7.81,9.22,84.34,41.01,60.21,105.42,66.57,64.85,85.76,3.00,44.60,89.56,80.99,25.18,22.36,82.02,82.22,42.19,56.73,88.14,94.51,88.05,55.80,53.24
V92,70.09,58.69,61.19,49.66,46.32,50.80,32.25,94.92,73.01,65.60,28.43,39.20,30.07,35.44,34.41,35.36,89.20,77.13,42.54,5.83,77.83,44.18,79.25,67.42,21.47,82.02,13.04,30.48,7.62,61.33,76.84,91.93,64.56,33.02,39.92,17.09,38.47,24.33,33.14,20.59,27.86,29.73,11.18,29.43,68.73,24.08,34.18,13.15,61.03,18.36,20.62,66.29,68.15,11.66,27.29,34.21,86.21,17.46,50.80,22.36,26.40,70.94,24.35,63.13,55.61,66.10,42.49,50.01,36.88,51.48,20.62,46.40,51.43,36.88,55.71,4.47,51.00,55.01,35.90,20.25,53.41,75.89,45.31,83.49,72.95,9.22,53.45,72.50,66.94,26.40,67.12,84.29,0.00,60.42,23.60,64.38,35.69,92.02,76.37,55.07,63.79,31.40,27.07,21.19,41.30,14.87,86.56,40.22,38.60,40.31,72.92,75.13,70.01,43.05,63.57,29.07,35.38,21.02,58.60,29.21,51.97
V93,83.86,2.24,13.93,39.45,33.11,56.75,65.80,41.23,12.65,30.89,37.12,96.83,36.80,65.62,52.48,28.28,41.30,21.19,36.06,55.71,17.80,54.42,29.15,87.66,78.49,33.14,67.68,59.41,60.73,43.14,23.54,40.52,52.33,28.64,71.02,77.47,62.37,81.74,35.61,74.53,68.01,65.07,54.08,39.70,77.94,58.05,87.97,49.93,64.07,46.87,40.80,12.00,47.80,54.64,40.31,64.50,30.87,77.62,34.37,45.28,39.20,50.22,84.69,63.60,14.21,51.66,47.17,35.51,61.40,79.12,54.45,18.25,80.78,38.08,45.10,55.95,50.01,61.77,63.79,80.62,15.26,17.03,15.26,32.56,16.16,68.88,41.19,12.08,42.20,84.60,31.38,32.02,60.42,0.00,83.65,24.60,62.80,39.22,29.02,52.47,12.21,31.24,77.16,48.26,33.11,66.49,32.89,22.09,78.23,49.24,12.53,15.00,51.97,50.33,48.80,31.38,56.94,75.71,84.76,37.05,51.97
V94,82.02,81.84,83.17,71.28,68.88,62.10,37.70,118.44,96.15,88.53,51.62,17.72,50.45,48.84,47.38,57.25,112.43,99.30,64.82,29.07,101.21,62.39,102.73,77.16,10.30,105.42,18.03,40.02,26.40,82.68,100.42,115.36,84.53,56.61,51.16,8.54,53.60,18.68,53.15,24.02,31.38,42.95,30.36,48.84,82.49,35.23,19.31,34.18,77.88,41.04,44.20,89.87,89.19,30.08,47.07,48.05,109.81,10.20,69.18,44.69,49.50,91.79,7.21,80.36,79.20,86.31,57.22,68.12,45.22,61.03,35.01,70.00,60.13,55.33,71.25,28.02,64.78,71.84,50.22,7.00,77.01,98.62,68.43,106.96,96.52,14.76,70.03,95.71,84.02,7.62,86.58,107.81,23.60,83.65,0.00,87.69,50.45,115.52,99.76,68.25,86.03,53.49,21.40,42.80,60.67,26.57,110.11,63.82,45.18,54.33,96.18,98.49,84.85,56.57,84.12,52.48,46.10,23.00,67.27,52.33,71.18
V95,64.51,26.00,38.48,23.09,20.62,77.06,80.06,31.38,29.21,6.40,36.07,103.48,50.96,55.54,68.88,42.95,24.84,42.45,25.08,58.69,27.31,40.11,15.65,69.86,85.28,17.80,75.00,74.00,61.72,21.02,16.03,27.80,30.02,32.76,59.84,80.06,50.80,80.45,51.20,72.20,80.53,57.25,62.13,54.12,57.94,70.77,96.83,57.98,44.27,46.75,44.05,14.87,24.08,62.97,53.76,54.82,24.74,79.51,56.32,43.42,38.21,26.17,86.68,43.08,13.00,28.84,66.27,57.22,77.62,65.00,66.21,20.25,67.01,55.58,67.48,60.21,71.01,43.74,53.37,82.98,14.14,36.24,30.07,19.72,18.38,73.59,63.39,27.80,66.41,90.69,55.95,21.02,64.38,24.60,87.69,0.00,52.39,28.30,12.21,74.11,36.72,43.97,87.13,45.80,52.09,64.90,23.77,26.40,68.88,67.60,27.20,26.42,75.96,69.35,26.42,38.47,73.25,73.57,69.26,35.38,34.23
V96,34.48,62.17,70.84,29.73,32.25,80.80,67.07,82.87,74.24,49.98,28.18,68.15,52.33,3.16,65.19,51.61,73.82,83.74,28.07,31.62,76.01,14.21,67.72,32.76,54.08,68.95,48.37,63.98,28.28,38.28,68.25,78.55,36.80,37.58,8.25,41.98,3.16,35.36,55.17,27.31,63.32,7.62,43.46,53.81,33.14,57.78,67.19,42.06,27.51,24.84,31.83,62.03,43.28,44.38,51.74,2.83,77.13,40.26,72.01,22.67,26.93,45.28,45.88,30.08,51.01,38.90,70.29,71.84,70.21,18.44,53.23,44.55,19.42,60.81,80.66,34.79,78.64,21.54,1.00,43.68,49.04,79.76,52.20,71.47,68.18,42.01,77.23,73.17,88.23,56.72,83.65,73.08,35.69,62.80,50.45,52.39,0.00,79.71,63.89,82.88,71.84,48.41,62.20,20.52,62.48,24.19,75.96,41.76,16.49,69.20,73.11,74.01,94.37,72.01,37.54,39.66,67.60,28.64,25.46,27.73,23.35
V97,85.21,41.44,50.64,49.98,48.76,95.88,103.94,3.16,33.02,29.73,64.03,130.82,74.43,82.87,91.24,65.86,8.94,44.55,53.24,86.45,26.02,66.48,12.81,92.01,112.45,10.77,101.91,97.62,89.81,43.42,16.12,2.83,50.00,59.41,86.68,108.07,77.79,108.76,73.82,100.50,105.39,85.09,88.62,77.52,78.23,95.41,123.43,84.39,66.01,74.81,71.45,28.18,42.01,89.38,77.70,82.28,9.00,107.62,73.25,71.61,66.22,42.19,114.81,64.01,36.88,48.01,86.38,74.46,100.18,90.26,91.26,46.01,92.40,76.97,83.55,87.73,89.02,67.36,80.65,111.04,38.95,38.21,51.97,8.60,23.09,101.18,79.83,32.06,78.06,118.09,66.01,7.81,92.02,39.22,115.52,28.30,79.71,0.00,16.12,91.22,47.38,67.96,113.23,74.06,72.24,93.19,6.32,52.40,96.14,88.39,31.06,28.02,88.05,89.54,47.04,64.54,95.71,101.87,93.43,63.41,59.03
V98,72.37,31.00,42.43,34.21,32.65,85.00,90.38,19.24,28.18,14.14,48.17,115.36,60.93,67.05,78.43,52.55,13.42,41.68,37.12,70.72,23.43,50.99,4.00,78.52,97.08,5.66,86.68,84.17,73.88,29.07,8.49,15.62,36.88,44.20,71.06,92.20,62.10,92.65,60.75,84.38,91.30,69.08,73.60,64.08,65.51,81.41,108.41,69.40,52.47,58.90,55.90,17.03,29.41,74.40,63.98,66.41,14.04,91.68,63.13,55.61,50.33,30.46,98.86,50.80,22.36,35.17,74.73,64.20,87.32,75.33,77.03,31.06,77.41,64.56,74.03,72.14,78.52,53.01,64.85,95.13,24.19,34.99,38.90,7.62,15.65,85.56,70.06,26.83,70.86,102.59,59.44,9.22,76.37,29.02,99.76,12.21,63.89,16.12,0.00,81.22,39.81,54.13,98.47,58.01,60.42,77.10,12.17,37.44,80.36,76.40,25.94,23.85,80.75,77.88,33.54,49.65,82.87,85.76,79.01,47.51,44.10
V99,115.11,50.36,40.80,76.90,69.89,7.62,32.02,92.89,59.14,79.40,57.45,72.11,30.81,84.17,21.19,34.54,93.77,52.48,69.46,55.22,66.41,83.53,81.61,115.26,58.55,85.59,50.96,28.28,61.29,86.13,75.95,92.76,93.92,50.57,89.81,67.36,84.50,78.39,28.30,75.66,38.01,79.93,43.91,29.07,111.31,33.24,60.21,43.01,99.30,58.05,51.22,64.38,92.65,43.42,31.14,82.76,82.46,68.95,18.11,60.44,57.69,95.57,73.50,100.18,61.13,94.25,12.81,17.03,24.02,101.18,34.93,56.09,101.83,22.47,8.06,52.70,4.24,94.51,83.55,69.92,60.30,56.36,44.41,85.00,68.25,57.58,11.40,59.77,20.25,64.28,29.83,84.34,55.07,52.47,68.25,74.11,82.88,91.22,81.22,0.00,44.27,36.24,50.00,62.37,23.09,69.34,84.93,52.20,91.68,14.76,60.73,63.89,17.03,12.08,91.09,45.65,22.20,76.06,108.30,58.31,86.76
V100,95.13,11.31,3.61,50.80,44.10,49.66,62.97,48.84,14.87,43.05,44.55,97.53,36.24,74.46,48.80,28.79,51.04,13.34,46.53,59.84,22.14,64.85,39.20,98.49,79.62,43.19,68.94,56.64,65.49,55.23,33.06,49.16,64.38,35.23,80.08,80.78,71.78,86.70,34.13,80.16,66.22,73.16,55.71,38.59,89.40,56.61,87.66,51.87,75.60,53.01,46.04,23.09,60.00,56.08,39.82,73.25,38.47,81.25,26.83,52.24,46.39,62.43,88.06,75.29,26.17,63.78,41.62,28.18,57.38,88.96,53.85,28.18,90.48,34.71,36.40,59.44,42.54,72.95,72.80,83.93,26.91,13.45,20.10,42.01,25.02,71.47,32.89,15.52,31.14,85.91,19.65,41.01,63.79,12.21,86.03,36.72,71.84,47.38,39.81,44.27,0.00,32.57,76.55,55.23,29.00,72.11,41.19,30.08,86.49,44.20,16.49,19.65,41.11,44.65,60.88,36.06,53.08,81.22,94.94,44.72,63.25
V101,79.20,29.21,29.83,41.23,34.53,36.40,36.25,70.46,43.27,47.85,21.40,65.73,7.07,50.22,25.18,4.00,67.54,45.88,33.53,28.00,49.04,47.43,55.95,79.93,47.51,59.48,36.72,30.08,34.06,51.35,51.87,68.60,58.46,14.56,56.04,48.27,49.58,55.01,8.25,49.25,37.44,47.01,23.26,10.20,75.17,27.46,56.73,19.31,63.06,24.60,17.00,40.00,58.22,23.71,9.85,48.83,60.61,48.84,23.60,25.81,21.93,61.20,55.54,63.98,31.78,59.03,25.00,23.43,33.73,66.84,23.43,23.77,67.80,13.93,32.65,27.17,32.20,58.31,49.20,51.42,30.08,45.19,16.28,60.03,46.10,38.90,29.00,43.01,39.96,53.71,37.11,60.21,31.40,31.24,53.49,43.97,48.41,67.96,54.13,36.24,32.57,0.00,45.97,28.30,14.14,41.44,61.85,18.11,59.93,25.32,43.60,46.23,46.01,27.66,55.90,9.43,29.43,50.16,73.76,22.20,50.57
V102,96.18,75.07,73.25,75.58,71.31,43.10,18.03,115.88,88.87,89.47,52.92,22.36,40.61,61.52,30.81,48.92,111.77,89.19,68.01,32.39,94.92,71.25,100.80,92.65,11.31,104.04,14.04,22.36,34.01,87.28,97.31,113.60,91.22,54.38,65.31,25.24,65.12,38.01,42.44,40.31,12.04,55.58,25.06,38.01,95.34,20.12,11.18,29.15,88.09,44.38,43.86,85.70,94.25,24.19,37.01,60.41,106.30,27.46,55.03,48.51,51.26,97.12,28.32,90.20,76.40,92.65,40.79,53.76,26.02,76.40,22.80,67.42,75.96,42.49,54.45,29.61,47.10,82.05,62.29,26.25,74.40,89.87,62.23,105.00,91.97,20.40,54.13,88.73,67.90,15.23,72.73,105.42,27.07,77.16,21.40,87.13,62.20,113.23,98.47,50.00,76.55,45.97,0.00,47.85,48.30,38.83,107.30,61.03,61.68,37.66,89.38,92.10,67.01,39.32,89.99,48.83,28.16,39.81,83.24,53.85,78.92
V103,53.67,47.10,53.60,28.65,26.17,60.46,48.84,77.10,60.67,45.97,11.18,59.68,31.83,22.02,45.18,31.76,70.18,68.03,22.02,15.52,64.03,24.19,61.29,53.01,42.54,63.60,33.96,44.92,16.40,40.25,59.94,73.60,43.42,20.02,27.80,34.71,22.20,34.89,34.71,26.93,46.10,18.79,25.18,33.30,50.92,39.05,55.36,22.80,41.30,4.47,11.40,50.92,47.01,26.17,31.24,20.62,69.35,33.94,51.87,3.00,9.06,49.77,41.04,43.10,39.56,44.92,49.82,51.61,50.92,38.90,34.21,31.05,39.70,40.31,60.21,18.25,58.14,35.51,21.21,37.48,37.34,65.12,35.13,65.46,57.58,29.97,56.85,59.84,68.26,47.01,64.62,66.57,21.19,48.26,42.80,45.80,20.52,74.06,58.01,62.37,55.23,28.30,47.85,0.00,42.20,19.24,69.12,26.17,31.95,48.83,60.02,61.61,74.03,51.61,42.38,20.25,47.93,28.23,45.97,11.40,31.14
V104,93.24,30.87,25.50,53.85,46.82,25.00,33.97,74.32,42.80,57.01,35.47,70.01,11.40,64.20,19.85,11.66,73.50,41.05,46.52,39.29,49.65,61.40,61.40,94.07,52.89,65.25,42.76,27.66,45.61,63.06,56.30,73.39,70.84,27.78,70.00,57.01,63.70,65.62,8.25,60.88,37.44,60.75,31.00,12.00,89.05,28.18,59.48,28.16,76.66,38.28,30.81,44.27,69.63,31.02,14.04,62.80,63.98,58.01,9.85,39.82,36.07,72.57,64.07,77.41,39.12,71.17,14.32,9.43,28.60,80.92,26.25,33.24,81.84,5.83,18.60,37.66,19.42,72.11,63.25,60.03,38.01,42.45,22.02,65.15,49.24,47.04,14.87,43.01,26.40,59.20,26.02,64.85,41.30,33.11,60.67,52.09,62.48,72.24,60.42,23.09,29.00,14.14,48.30,42.20,0.00,53.45,65.92,29.12,73.43,16.16,43.83,46.87,31.89,17.46,68.01,23.43,24.21,61.61,87.86,36.24,64.01
V105,57.43,65.12,70.01,46.01,44.82,65.44,46.87,96.25,79.08,64.66,30.08,44.27,42.06,23.00,49.04,45.40,89.02,85.29,40.46,14.32,82.86,35.85,80.45,53.85,30.00,82.66,25.63,45.34,8.06,57.01,79.18,92.66,58.18,37.85,26.48,18.03,27.29,15.65,45.22,8.06,42.06,17.00,25.61,42.15,57.00,38.95,43.05,26.42,51.42,19.65,26.08,70.01,63.25,26.25,39.92,22.02,88.59,16.55,63.25,21.93,27.86,65.73,23.02,53.85,58.69,60.03,56.60,62.63,51.74,37.64,35.38,49.98,37.34,49.77,69.32,16.64,65.19,45.35,24.08,20.12,56.46,83.02,52.35,84.60,76.69,18.44,66.71,78.34,79.71,32.56,78.45,85.76,14.87,66.49,26.57,64.90,24.19,93.19,77.10,69.34,72.11,41.44,38.83,19.24,53.45,0.00,88.32,44.64,23.85,54.64,78.59,80.36,83.63,57.43,57.98,36.06,50.21,9.22,44.60,30.46,44.72
V106,83.86,35.11,44.41,46.32,44.38,89.56,97.75,8.60,27.02,26.31,58.82,125.18,68.26,79.12,84.97,59.68,11.66,39.05,48.85,81.06,20.22,63.15,8.25,90.27,106.78,8.25,96.18,91.42,84.63,41.00,10.00,8.00,48.37,53.76,83.20,102.80,74.22,103.94,67.60,95.77,99.30,80.99,82.81,71.34,76.94,89.31,117.59,78.57,64.20,69.63,65.95,21.95,40.61,83.55,71.56,78.45,3.61,102.42,66.94,66.57,61.03,41.23,109.62,62.39,31.11,46.53,80.06,68.15,93.91,87.46,85.21,40.31,89.56,70.68,77.28,82.22,82.71,65.01,76.92,105.80,33.24,32.56,45.79,5.10,16.76,95.67,73.55,26.00,72.01,112.49,60.01,3.00,86.56,32.89,110.11,23.77,75.96,6.32,12.17,84.93,41.19,61.85,107.30,69.12,65.92,88.32,0.00,46.67,92.44,82.08,25.00,22.02,82.01,83.22,45.18,58.73,89.44,97.13,91.05,58.25,56.22
V107,67.27,21.00,29.15,25.06,17.89,53.60,53.76,55.17,34.53,29.83,15.03,78.52,25.18,44.38,43.29,18.11,50.77,42.30,18.44,34.99,38.28,35.81,39.82,69.63,60.11,43.01,49.52,47.80,39.40,33.96,36.80,52.63,41.79,7.21,50.00,56.94,41.79,60.08,26.00,52.63,54.13,43.29,36.24,28.28,62.24,44.38,71.06,32.02,49.04,25.00,19.72,26.08,40.61,37.01,27.66,43.17,46.10,56.82,36.24,23.19,17.12,43.57,64.01,49.41,15.56,42.06,42.30,36.67,51.79,59.09,39.81,6.40,60.54,31.14,47.01,35.81,48.51,45.25,42.72,60.03,13.45,39.01,10.82,44.05,32.76,49.20,42.95,33.73,50.45,65.86,43.42,44.60,40.22,22.09,63.82,26.40,41.76,52.40,37.44,52.20,30.08,18.11,61.03,26.17,29.12,44.64,46.67,0.00,56.57,43.05,33.96,35.74,58.52,45.18,38.90,12.21,47.52,53.85,65.30,15.00,36.24
